Index,country,gender,age,WUR2000,WUR2001,WUR2002,WUR2003,WUR2004,WUR2005,WUR2006,WUR2007,WUR2008,WUR2009,WUR2010,WUR2011,WUR2012,WUR2013,WUR2014,WUR2015,WUR2016,WUR2017,WUR2018,WUR2019,WUR2020,WUR2021,WUR2022,WUR2023,WUR2024,WUR2025
0,Afghanistan,Sex: Total,"Age (Youth, adults): 15-24",10.221,10.217,10.206,10.194,10.184,10.176,10.177,10.172,10.165,10.148,10.133,10.115,10.098,10.092,10.086,12.507,14.909,17.303,16.547,15.776,16.053,16.506,17.841,19.798,21.163,22.234
1,Albania,Sex: Total,"Age (Youth, adults): 15-24",30.557,29.893,28.809,27.531,26.605,26.231,25.858,26.622,26.553,27.324,30.885,22.733,28.987,31.318,39.744,39.874,36.172,31.403,28.305,27.161,30.756,29.691,28.2,26.94,26.446,26.168
2,Algeria,Sex: Total,"Age (Youth, adults): 15-24",50.683,46.978,46.089,43.925,34.222,31.226,24.352,27.84,24.29,21.617,21.909,22.61,27.7,25.56,25.4,30.257,26.168,30.249,30.731,31.137,35.417,33.957,32.007,31.327,30.982,30.69
3,Angola,Sex: Total,"Age (Youth, adults): 15-24",38.241,38.229,37.592,37.608,37.28,37.254,36.79,36.649,36.897,37.54,38.142,38.553,37.211,36.3,35.327,34.795,34.236,33.529,32.682,31.644,32.498,29.991,28.009,27.628,27.425,27.179
4,Argentina,Sex: Total,"Age (Youth, adults): 15-24",32.357,37.115,41.554,32.983,29.55,26.221,23.79,20.243,18.932,21.198,19.369,18.716,18.343,19.557,19.132,20.266,21.778,22.831,23.83,25.812,30.407,23.37,18.979,18.822,18.642,18.843
5,Armenia,Sex: Total,"Age (Youth, adults): 15-24",12.483,12.338,12.175,12.018,11.883,11.751,11.626,11.495,12.778,14.096,15.416,16.732,17.994,19.352,20.766,22.256,23.788,25.384,26.986,24.614,23.765,22.361,19.015,18.645,18.621,18.961
6,Australia,Sex: Total,"Age (Youth, adults): 15-24",12.081,13.48,12.791,11.956,11.361,10.625,10.029,9.362,8.81,11.464,11.536,11.36,11.737,12.218,13.306,13.111,12.635,12.592,11.786,11.753,14.204,11.228,8.233,8.285,8.766,8.979
7,Austria,Sex: Total,"Age (Youth, adults): 15-24",6.292,6.011,7.142,7.43,11.011,11.183,10.057,9.608,8.732,10.904,9.672,9.183,9.569,9.778,10.511,10.921,11.429,9.983,9.568,8.777,10.326,12.051,10.35,10.436,11.226,11.752
8,Azerbaijan,Sex: Total,"Age (Youth, adults): 15-24",22.121,22.092,21.591,18.943,18.199,15.277,14.621,13.389,13.67,13.614,14.559,14.414,13.896,13.388,13.287,13.208,12.797,12.319,11.622,11.402,15.119,14.463,13.583,13.609,13.836,14.08
9,Bahamas,Sex: Total,"Age (Youth, adults): 15-24",15.469,15.025,20.124,24.422,21.615,20.213,16.434,19.02,17.152,26.251,26.83,27.282,30.733,34.84,29.195,24.942,25.937,21.562,24.241,24.283,29.973,27.447,25.139,23.795,23.532,23.53
10,Bahrain,Sex: Total,"Age (Youth, adults): 15-24",4.041,4.201,4.342,4.361,4.168,4.005,4.027,4.118,4.337,4.693,4.96,5.275,5.402,5.428,5.361,5.322,5.397,5.487,5.583,5.665,6.548,6.636,5.894,5.759,5.674,5.599
11,Bangladesh,Sex: Total,"Age (Youth, adults): 15-24",9.67,8.804,7.774,6.609,7.732,8.809,7.281,8.121,8.911,9.636,6.373,7.528,8.694,9.881,10.286,10.679,11.051,12.219,12.274,12.344,14.467,14.21,12.541,12.266,12.362,12.457
12,Barbados,Sex: Total,"Age (Youth, adults): 15-24",20.793,22.966,22.93,25.846,22.554,21.224,20.453,17.362,19.005,23.572,25.251,26.724,28.709,28.998,32.808,28.65,26.124,26.033,24.046,25.516,29.52,27.964,26.096,24.559,23.62,23.096
13,Belarus,Sex: Total,"Age (Youth, adults): 15-24",21.572,20.389,19.167,17.961,16.732,15.536,14.361,13.229,12.084,10.979,10.949,10.94,10.906,10.897,10.866,10.83,10.775,9.382,10.685,10.24,12.078,10.485,10.269,9.916,9.833,9.848
14,Belgium,Sex: Total,"Age (Youth, adults): 15-24",15.252,15.345,15.652,18.969,17.494,21.471,20.505,18.825,17.975,21.935,22.391,18.733,19.743,23.704,23.202,22.12,20.095,19.277,15.767,14.265,15.329,18.208,16.441,14.486,14.537,14.723
15,Belize,Sex: Total,"Age (Youth, adults): 15-24",21.925,18.512,20.323,20.995,21.512,22.134,19.019,17.209,16.515,16.783,16.941,16.981,16.931,16.924,18.293,16.507,16.585,15.736,17.935,19.854,22.148,19.865,17.926,17.278,17.144,17.142
16,Benin,Sex: Total,"Age (Youth, adults): 15-24",1.006,0.908,0.827,0.987,1.137,1.318,1.463,1.593,1.692,1.883,2.141,5.461,5.155,4.728,4.401,4.386,4.397,4.254,3.867,3.74,4.318,4.337,3.931,3.752,3.688,3.637
17,Bhutan,Sex: Total,"Age (Youth, adults): 15-24",4.987,5.663,5.503,5.349,7.406,9.315,9.476,11.334,11.872,12.43,8.788,8.914,6.984,9.39,9.023,10.114,11.716,13.417,15.222,11.575,21.997,20.585,29.608,29.446,29.559,29.355
18,Bolivia,Sex: Total,"Age (Youth, adults): 15-24",4.262,4.581,4.726,4.93,5.049,5.184,5.189,5.416,5.578,5.218,5.161,5.121,3.37,5.371,4.608,6.806,6.761,6.637,6.753,6.976,15.376,8.451,6.265,7.175,7.347,7.386
19,Bosnia and Herz.,Sex: Total,"Age (Youth, adults): 15-24",50.204,52.28,54.182,56.193,58.097,60.11,62.1,58.359,47.581,48.94,57.942,58.055,63.486,59.808,63.373,63.15,55.099,46.518,39.453,34.102,37.052,35.332,31.893,29.81,29.197,29.023
20,Botswana,Sex: Total,"Age (Youth, adults): 15-24",31.823,38.843,43.183,46.73,41.381,36.596,31.709,31.292,31.116,32.158,34.845,34.9,34.258,34.392,34.615,35.021,35.35,35.514,34.996,35.285,41.54,44.485,43.523,43.609,43.371,43.124
21,Brazil,Sex: Total,"Age (Youth, adults): 15-24",20.285,19.986,20.538,21.298,19.944,21.296,19.792,18.69,17.432,19.64,18.108,16.783,15.776,15.643,15.45,19.437,26.519,28.504,27.883,27.044,30.221,28.261,20.679,17.743,18.101,18.255
22,Brunei,Sex: Total,"Age (Youth, adults): 15-24",16.274,16.444,16.758,17.127,17.562,18.068,18.629,19.258,19.944,20.684,21.434,22.201,22.924,23.671,24.397,26.225,27.973,29.652,31.453,20.448,27.351,16.456,16.72,16.643,16.395,16.226
23,Bulgaria,Sex: Total,"Age (Youth, adults): 15-24",33.242,39.056,35.59,27.017,24.455,22.332,19.511,15.141,12.766,16.226,21.942,25.055,28.127,28.409,23.796,21.669,17.234,12.932,12.685,8.897,14.205,15.847,10.765,10.445,9.994,9.082
24,Burkina Faso,Sex: Total,"Age (Youth, adults): 15-24",4.229,4.311,4.479,4.344,5.464,6.309,5.794,5.224,5.571,5.955,5.998,6.201,6.28,6.65,7.015,7.375,7.592,7.711,7.78,7.813,8.689,8.659,8.249,8.15,8.048,7.949
25,Burundi,Sex: Total,"Age (Youth, adults): 15-24",3.96,3.923,3.894,3.951,3.887,3.931,3.89,3.047,2.126,2.205,2.286,2.4,2.532,2.7,2.926,2.757,2.496,2.246,1.994,1.742,1.693,1.773,1.709,1.589,1.525,1.459
26,Cabo Verde,Sex: Total,"Age (Youth, adults): 15-24",22.233,22.941,23.486,24.24,24.186,24.417,24.544,24.609,24.903,25.613,20.812,22.126,23.326,24.747,26.403,28.017,29.547,31.25,27.104,27.703,33.562,31.562,29.33,28.581,28.386,28.228
27,Cambodia,Sex: Total,"Age (Youth, adults): 15-24",1.288,1.379,1.474,1.563,1.688,1.814,1.954,2.104,1.332,0.805,0.968,0.602,0.687,0.772,1.071,0.773,1.163,0.38,0.386,0.395,0.504,0.876,0.778,0.718,0.697,0.659
28,Cameroon,Sex: Total,"Age (Youth, adults): 15-24",11.352,11.246,10.109,8.895,7.658,6.623,5.585,4.554,5.087,5.683,6.307,6.308,6.264,6.223,6.177,6.166,6.203,6.297,6.375,6.431,7.145,7.088,6.606,6.46,6.4,6.338
29,Canada,Sex: Total,"Age (Youth, adults): 15-24",12.685,12.879,13.625,13.631,13.471,12.416,11.638,11.069,11.404,15.097,14.621,13.96,14.094,13.276,13.239,12.801,12.634,11.269,10.754,10.773,20.165,13.577,10.109,10.563,11.6,11.433
30,Central African Rep.,Sex: Total,"Age (Youth, adults): 15-24",11.035,11.092,11.06,11.027,10.803,10.712,10.523,10.442,10.298,10.516,10.777,10.565,10.404,10.392,10.488,10.689,10.714,10.766,10.507,10.604,11.851,11.836,10.899,10.76,10.669,10.541
31,Chad,Sex: Total,"Age (Youth, adults): 15-24",1.104,1.113,1.106,1.062,0.956,0.932,1.025,1.194,1.26,1.27,1.254,1.285,1.285,1.335,1.33,1.374,1.433,1.479,1.501,1.48,1.811,1.971,1.492,1.332,1.273,1.233
32,Chile,Sex: Total,"Age (Youth, adults): 15-24",24.687,24.505,24.946,24.69,24.483,23.37,22.066,21.612,23.738,26.693,19.09,17.943,16.76,16.669,17.027,16.085,16.009,17.139,18.036,19.529,24.447,20.462,18.299,21.645,22.278,22.691
33,China,Sex: Total,"Age (Youth, adults): 15-24",6.835,7.986,8.907,9.609,9.417,9.481,9.319,9.215,9.795,10.144,9.82,9.981,10.167,10.337,10.533,10.712,10.61,10.471,9.711,10.726,12.715,12.414,14.85,15.9,15.903,15.847
34,Colombia,Sex: Total,"Age (Youth, adults): 15-24",37.328,27.415,26.809,25.047,26.209,22.479,22.222,22.091,22.705,23.476,22.494,21.121,20.058,18.734,18.258,17.333,18.293,18.507,19.49,20.687,27.274,24.801,21.043,19.213,19.264,19.632
35,Comoros,Sex: Total,"Age (Youth, adults): 15-24",9.487,9.463,9.464,9.885,9.926,9.916,9.902,9.968,9.926,9.908,9.778,9.777,9.784,9.755,9.847,9.932,9.973,9.892,9.787,9.863,11.442,10.946,10.779,10.797,10.775,10.706
36,Congo,Sex: Total,"Age (Youth, adults): 15-24",39.56,39.652,39.267,39.859,39.98,39.848,39.464,40.302,40.53,40.41,39.419,39.798,40.026,40.906,40.687,41.773,42.623,43.552,43.711,42.924,47.288,46.066,42.088,40.899,40.251,39.775
37,Costa Rica,Sex: Total,"Age (Youth, adults): 15-24",11.285,13.854,14.518,15.092,14.571,15.566,14.321,11.102,11.253,18.373,17.397,22.061,22.395,21.595,24.28,22.427,21.724,20.804,25.126,31.282,40.16,39.27,30.74,24.736,23.88,23.993
38,Croatia,Sex: Total,"Age (Youth, adults): 15-24",41.329,39.221,36.104,35.521,32.36,31.911,28.605,25.027,23.591,25.154,32.298,36.616,42.06,50.018,45.542,42.396,31.291,27.398,23.752,16.676,21.152,21.947,18.056,19.245,18.662,17.469
39,Cuba,Sex: Total,"Age (Youth, adults): 15-24",10.97,8.385,6.735,4.686,3.849,4.182,4.172,3.968,3.399,3.497,6.035,7.692,8.48,8.095,6.603,5.977,4.969,4.307,4.25,3.026,3.172,3.177,3.09,2.891,2.744,2.578
40,Cyprus,Sex: Total,"Age (Youth, adults): 15-24",8.913,7.97,7.466,8.619,10.219,13.576,9.892,9.531,8.571,13.3,15.88,21.202,27.317,38.138,35.561,32.495,28.824,24.948,20.557,16.769,18.444,17.126,18.652,17.106,16.664,16.418
41,Czechia,Sex: Total,"Age (Youth, adults): 15-24",16.958,16.553,15.979,17.561,20.379,19.254,17.445,10.742,9.86,16.656,18.364,18.067,19.521,18.966,15.852,12.596,10.497,7.922,6.716,5.643,7.946,8.128,6.747,9.46,9.26,8.528
42,Côte d'Ivoire,Sex: Total,"Age (Youth, adults): 15-24",6.639,7.123,7.549,8.004,8.126,8.295,8.325,8.686,8.834,9.089,9.153,9.83,9.951,6.272,4.617,3.326,2.036,5.172,4.556,3.949,4.411,4.395,4.069,3.977,3.926,3.886
43,Dem. Rep. Congo,Sex: Total,"Age (Youth, adults): 15-24",5.399,5.4,5.285,5.097,4.968,4.92,5.422,5.933,6.44,7.002,7.505,8.014,8.444,8.417,8.365,8.38,8.533,8.686,8.73,8.701,10.185,9.845,8.782,8.404,8.341,8.293
44,Denmark,Sex: Total,"Age (Youth, adults): 15-24",6.732,8.215,7.023,9.804,7.771,8.596,7.671,7.489,9.456,13.431,15.56,16.304,15.769,14.76,14.201,12.151,12.153,12.392,10.513,10.047,11.591,10.79,10.535,10.946,10.887,11.03
45,Djibouti,Sex: Total,"Age (Youth, adults): 15-24",62.041,62.498,63.335,64.034,64.945,65.941,67.045,68.005,68.862,70.492,71.706,72.155,72.264,72.662,73.206,73.335,73.36,74.036,74.954,75.68,81.863,80.069,77.144,76.862,77.025,77.41
46,Dominican Rep.,Sex: Total,"Age (Youth, adults): 15-24",12.453,13.507,12.757,13.476,12.932,13.555,10.802,12.382,10.576,12.515,10.83,14.006,14.857,17.418,13.363,16.467,16.766,13.462,14.881,15.578,14.825,16.906,12.891,12.06,12.316,12.553
